LocationID,Borough,Zone,service_zone,Latitude,Longitude
1,EWR,Newark Airport,EWR,40.689491,-74.174538
2,Queens,Jamaica Bay,Boro Zone,40.610824,-73.822478
3,Bronx,Allerton/Pelham Gardens,Boro Zone,40.865747,-73.844953
4,Manhattan,Alphabet City,Yellow Zone,40.724137,-73.977725
5,Staten Island,Arden Heights,Boro Zone,40.550664,-74.187558
6,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,40.596497,-74.071271
7,Queens,Astoria,Boro Zone,40.7644,-73.9235
8,Queens,Astoria Park,Boro Zone,40.776294,-73.925364
9,Queens,Auburndale,Boro Zone,40.757234,-73.789348
10,Queens,Baisley Park,Boro Zone,40.68779,-73.790367
11,Brooklyn,Bath Beach,Boro Zone,40.598082,-74.005224
12,Manhattan,Battery Park,Yellow Zone,40.710161,-74.01642
13,Manhattan,Battery Park City,Yellow Zone,40.702808,-74.01587
14,Brooklyn,Bay Ridge,Boro Zone,40.630141,-74.040419
15,Queens,Bay Terrace/Fort Totten,Boro Zone,40.788185,-73.774669
16,Queens,Bayside,Boro Zone,40.760892,-73.766113
17,Brooklyn,Bedford,Boro Zone,40.684906,-73.944231
18,Bronx,Bedford Park,Boro Zone,40.8734,-73.8857
19,Queens,Bellerose,Boro Zone,40.7326,-73.7225
20,Bronx,Belmont,Boro Zone,40.8545,-73.8875
21,Brooklyn,Bensonhurst East,Boro Zone,40.6126,-73.9881
22,Brooklyn,Bensonhurst West,Boro Zone,40.6139,-73.9972
23,Staten Island,Bloomfield/Emerson Hill,Boro Zone,40.6094,-74.1101
24,Manhattan,Bloomingdale,Yellow Zone,40.8017,-73.9676
25,Brooklyn,Boerum Hill,Boro Zone,40.6851,-73.9839
26,Brooklyn,Borough Park,Boro Zone,40.6339,-73.9905
27,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone,40.5574,-73.9132
28,Queens,Briarwood/Jamaica Hills,Boro Zone,40.7076,-73.8115
29,Brooklyn,Brighton Beach,Boro Zone,40.5768,-73.9654
30,Queens,Broad Channel,Boro Zone,40.6151,-73.8199
31,Bronx,Bronx Park,Boro Zone,40.8506,-73.8768
32,Bronx,Bronxdale,Boro Zone,40.8525,-73.8642
33,Brooklyn,Brooklyn Heights,Boro Zone,40.6952,-73.9935
